title,price,location,rooms,size_sqm,url
"Hochwertiger und heller Designer-Erstbezug im 3. Liftstock in 1200 Wien, Dresdnerstraße",€ 449.000,"Wien, 20. Bezirk, Brigittenau",3,75,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/hochwertiger-und-heller-designer-erstbezug-im-3-liftstock-in-1200-wien-dresdnerstrasse-1280883177/
"3-ZIMMER ALTBAUWOHNUNG mit Terrasse, perfekte Raumaufteilung, Ruhelage in den Innenhof",€ 549.000,"Wien, 03. Bezirk, Landstraße",3,83,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/3-zimmer-altbauwohnung-mit-terrasse-perfekte-raumaufteilung-ruhelage-in-den-innenhof-1224189720/
Raumwunder mit Süd-Ausrichtung nähe Hauptbahnhof,€ 419.000,"Wien, 03. Bezirk, Landstraße",3,67,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/raumwunder-mit-sued-ausrichtung-naehe-hauptbahnhof-738883534/
"NEUER PREIS | NÄHE 1. BEZIRK, DONAUKANAL UND AUGARTEN | Stilaltbauwohnung mit Potenzial | ca. 3,60 m Raumhöhe | Teils Hoflage | Balkonerrichtung zulässig",€ 459.000,"Wien, 02. Bezirk, Leopoldstadt",3,98,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/neuer-preis-naehe-1-bezirk-donaukanal-und-augarten-stilaltbauwohnung-mit-potenzial-ca-3-60-m-raumhoehe-teils-hoflage-balkonerrichtung-zulaessig-1945660922/
Mohsgasse 9,ab € 359.000,"Wien, 03. Bezirk, Landstraße",0,,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/neubauprojekt/wien/wien-1030-landstrasse/mohsgasse-9-738883558/
U3 Schlachthausgasse: 3-Zimmerwohnung in gepflegtem Altbau,€ 330.000,"Wien, 03. Bezirk, Landstraße",3,69,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/u3-schlachthausgasse-3-zimmerwohnung-in-gepflegtem-altbau-835473187/
Top Lage - wunderschöne und geräumige Neubauwohnung nähe Rennweg,€ 389.500,"Wien, 03. Bezirk, Landstraße",3,75,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/top-lage-wunderschoene-und-geraeumige-neubauwohnung-naehe-rennweg-1088437451/
Stilvolle 3-Zimmer-Altbauwohnung mit Lift in begehrter Lage der Josefstadt,€ 495.000,"Wien, 08. Bezirk, Josefstadt",3,88,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1080-josefstadt/stilvolle-3-zimmer-altbauwohnung-mit-lift-in-begehrter-lage-der-josefstadt-1851408154/
Wohnen mit Geschichte - Leben mit Zukunft!,€ 375.000,"Wien, 03. Bezirk, Landstraße",3,62,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/wohnen-mit-geschichte-leben-mit-zukunft-1514861870/
Großzügige 3-Zimmer-Altbauwohnung mit Aufzug in Toplage der Josefstadt,€ 499.000,"Wien, 08. Bezirk, Josefstadt",3,85,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1080-josefstadt/grosszuegige-3-zimmer-altbauwohnung-mit-aufzug-in-toplage-der-josefstadt-906523979/
"Erstbezug nach Sanierung! Moderne 3-Zimmer Wohnung, Nähe Augarten",€ 429.000,"Wien, 20. Bezirk, Brigittenau",3,75,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/erstbezug-nach-sanierung-moderne-3-zimmer-wohnung-naehe-augarten-1465537299/
"ANLAGEOBJEKT: Wunderschöner, generalsanierter 2 Zimmer Altbau mitten im 3. Bezirk (vermietet bis 2027)",€ 420.000,"Wien, 03. Bezirk, Landstraße",3,65,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/anlageobjekt-wunderschoener-generalsanierter-2-zimmer-altbau-mitten-im-3-bezirk-vermietet-bis-2027-1223980186/
Ruhig gelegene Neubau Familienwohnung bei den Aspanggründen-Eurogate,€ 419.000,"Wien, 03. Bezirk, Landstraße",3,78,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/ruhig-gelegene-neubau-familienwohnung-bei-den-aspanggruenden-eurogate-869743775/
"DIREKT AN U3: hofseitige, modernisierte 3-Zimmerwohnung im 1. Stock",€ 499.000,"Wien, 03. Bezirk, Landstraße",3,75,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/direkt-an-u3-hofseitige-modernisierte-3-zimmerwohnung-im-1-stock-1317408603/
Betongold -unbefristet vermietet - unbefristet vermietet - sichere Kapitalanlage im Herzen der Stadt mit Zukunftspotenzial,€ 305.000,"Wien, 07. Bezirk, Neubau",3,79,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1070-neubau/betongold-unbefristet-vermietet-unbefristet-vermietet-sichere-kapitalanlage-im-herzen-der-stadt-mit-zukunftspotenzial-1793389044/
"Betongold - unbefristet vermietet - sichere Kapitalanlage mit 2,04 % Rendite im Herzen der Stadt mit Zukunftspotenzial",€ 349.000,"Wien, 07. Bezirk, Neubau",3,76,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1070-neubau/betongold-unbefristet-vermietet-sichere-kapitalanlage-mit-2-04-rendite-im-herzen-der-stadt-mit-zukunftspotenzial-1020743765/
Neue und moderne 3-Zimmer-Wohnung im Zentrum von Wien! 3. Bezirk. U3,€ 430.000,"Wien, 03. Bezirk, Landstraße",3,65,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/neue-und-moderne-3-zimmer-wohnung-im-zentrum-von-wien-3-bezirk-u3-1960097983/
Traisengasse 20-22 - Moderner Lebensraum mit Donaublick,€ 525.200,"Wien, 20. Bezirk, Brigittenau",3,63,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/traisengasse-20-22-moderner-lebensraum-mit-donaublick-906993490/
"2., Bezirk, Nähe Heinestraße U1, U2, S-Bahn, Perfekte Grundriss 3 Zimmer, Erdgeschoß. ",€ 309.000,"Wien, 02. Bezirk, Leopoldstadt",3,67,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/2-bezirk-naehe-heinestrasse-u1-u2-s-bahn-perfekte-grundriss-3-zimmer-erdgeschoss-nbsp-1863818862/
3-Zi. Altbau-Erstbezug in Toplage des 5. Bezirk!,€ 465.000,"Wien, 05. Bezirk, Margareten",3,65,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/3-zi-altbau-erstbezug-in-toplage-des-5-bezirk-1506345998/
